日期,標題,連結
2025-03-22,"【公關中心】中興大學與中市府合辦就業博覽會  81家企業釋出超過5, 500個職缺",https://www2.nchu.edu.tw/news-detail/id/59299
2025-03-21,★☆2025/03/25~2025/03/27 語言密客室 活動快報 Language Mix☆★,https://www2.nchu.edu.tw/news-detail/id/51960
2025-03-21,植物診療師學分班 熱烈招生中！！！,https://www2.nchu.edu.tw/news-detail/id/59278
2025-03-21,企業傳承接班必修課-適合台灣家族企業的家族治理與傳承模式暨傳承工具應用案例討論,https://www2.nchu.edu.tw/news-detail/id/16804
2025-03-21,**職前訓練【AI人工智慧與大數據分析應用班】熱烈招生中**,https://www2.nchu.edu.tw/news-detail/id/52847
2025-03-21,政府補助80%~100%--產業人才投資方案【TTQS訓練機構版指標課程班】,https://www2.nchu.edu.tw/news-detail/id/58952
2025-03-21,政府補助80%~100%--產業人才投資方案【租稅管理實務進階班】,https://www2.nchu.edu.tw/news-detail/id/58953
2025-03-21,政府補助80%~100%--產業人才投資方案【新多益題型解析與應考技巧班】,https://www2.nchu.edu.tw/news-detail/id/58955
2025-03-21,人工智慧內容生成(AIGC)初探班招生中~,https://www2.nchu.edu.tw/news-detail/id/59172
2025-03-21,【公關中心】UBL中興大學棒球隊勇奪季軍 締造21年最佳紀錄,https://www2.nchu.edu.tw/news-detail/id/59297
2025-03-21,【公關中心】掌握AI治理立法趨勢 中興大學舉辦《資料治理與人工智慧法》國際研討會,https://www2.nchu.edu.tw/news-detail/id/59298
2025-03-21,"【轉知申請】海洋委員會114年度海洋無障礙親海計畫徵件公告，校內截止日期114年4月9日下午五點(Ocean Affairs Council 2024 Accessible Marine and Coastal Engagement Program Call for Proposals – Internal Deadline: April 9, 2025, 5:00 PM.)",https://www2.nchu.edu.tw/news-detail/id/59296
2025-03-21,【轉知/國科會申請Notice/ NSC Application】114年度第一期「國科會補助國內舉辦國際學術研討會」案校內申請截止3/28( National Science and Technology Council (NSTC) Funding for Holding of International Academic Conferences in Taiwan (2025 first ephase)),https://www2.nchu.edu.tw/news-detail/id/57087
2025-03-21,【轉知申請】海洋委員會114年度海洋教育多元推展計畫申請案，校內截止日期114年3月28日下午四點 [Notification of Application] The application for the 114th Annual Ocean Education Diversified Expansion Plan by the Ocean Affairs Council has an internal deadline of 4:00 PM on March 28.,https://www2.nchu.edu.tw/news-detail/id/59274
2025-03-21,【週六】台語B2證照輔導班第4期(通過口試才需繳費),https://www2.nchu.edu.tw/news-detail/id/58359
2025-03-21,「廣告影音與動態視覺(Motion Graphic)製作培訓班」114/03/24(一)12.30點課程說明會，13點甄試~~請攜有照片證件及文具至綜合大樓8樓808教室應試,https://www2.nchu.edu.tw/news-detail/id/59287
2025-03-21,【114上年產業新尖兵計畫X興大臺中校區X興大南投分部】無人機、農企淨碳(確定開班)、前端(確定開班)、全端工程師、工業製圖（都免學費、南投提供自費住宿）,https://www2.nchu.edu.tw/news-detail/id/58820
2025-03-21,【會計主管】財稅及法律實務課完整4天課(台中區)，可報單堂課,https://www2.nchu.edu.tw/news-detail/id/58975
2025-03-21,國立中興大學生命科學院跨域創新生技國際博士學位學程行政組員錄取公告,https://www2.nchu.edu.tw/news-detail/id/59295
2025-03-21,資管系誠徵專任或專案「助理教授」至多2名 (公告日期：2025.3.3),https://www2.nchu.edu.tw/news-detail/id/59166
